"","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9"
"530",-98.00457,28.15205,219,291,135,703,112,26,42,254,108,192,115,127,42,6063,361,59,302,265,150
"531",-97.68568,26.69603,224,286,149,664,133,18,53,263,93,184,108,103,40,5325,341,84,257,265,194
"532",-98.38566,28.5233,216,292,126,632,93,23,40,214,97,175,103,136,42,6441,366,45,321,264,143
"533",-98.22121,28.47533,217,292,129,654,96,24,40,223,102,176,109,133,42,6353,366,50,316,265,145
"534",-98.97635,26.40849,234,304,151,522,107,16,56,212,65,151,72,129,43,5970,376,78,298,277,169
"535",-98.697,26.575,227,292,146,576,110,18,52,226,80,166,89,129,44,5690,365,73,292,268,164
"536",-99.47748,27.47683,235,309,147,431,79,12,52,163,55,114,64,132,42,6328,382,71,311,283,166
"537",-99.11609,26.51454,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"538",-97.86422,28.22243,216,289,133,744,118,28,40,264,116,209,123,123,41,6054,357,59,298,264,148
"539",-99.11247,26.51236,231,303,146,537,111,16,58,229,65,161,72,128,42,6111,375,73,302,274,163
"540",-99.51279,27.54481,232,307,144,427,78,12,51,162,54,114,63,132,42,6360,379,69,310,280,164
"541",-98.763,29.554,199,279,111,752,99,39,32,248,130,196,131,129,41,6556,349,37,312,237,121
"542",-98.23888,27.7639,220,290,137,654,119,24,49,247,96,183,99,131,43,5951,362,62,300,265,153
"543",-99.51569,27.63995,229,304,141,449,83,14,52,176,57,120,63,133,42,6375,377,66,311,276,160
"544",-99.08363,26.46873,232,303,147,534,110,17,57,229,65,157,70,128,42,6077,375,75,300,274,165
"545",-99.46369,27.80142,223,299,136,499,88,19,49,193,67,136,70,136,43,6365,374,60,314,270,154
"546",-100.41856,29.30489,202,283,109,555,78,20,43,205,70,171,73,136,41,6793,353,26,327,243,119
"547",-99.50712,27.5655,231,306,144,429,78,12,51,164,54,115,62,132,42,6310,378,69,309,278,163
"548",-99.43605,27.59723,229,304,141,443,78,14,50,167,59,117,66,132,42,6337,376,66,310,275,160
"549",-99.2039,26.6729,230,301,143,510,100,16,55,204,63,155,70,129,42,6175,373,69,304,274,160
"550",-98.01107,28.02325,218,289,135,706,118,26,44,261,107,196,113,126,42,5998,359,61,298,264,151
